OID,Unit_ID,Unit_Heb,Unit_Eng,Site_ID,Site_Heb,Proximity,Type,Plot,Specie_Heb,Specie_Eng,Observations,Date,Year,
,,,Conifer Forests,Kerem Maharal,כרם מהרל,KKL,Slope,1,חומט גמד,Ablepharus rueppellii,3,9/1/2014,2014,Kerem MaharalKKLSlope1
,,,Conifer Forests,Kerem Maharal,כרם מהרל,KKL,Slope,1,זעמן זיתני,Platyceps collaris,1,9/1/2014,2014,Kerem MaharalKKLSlope1
,,,Conifer Forests,Kerem Maharal,כרם מהרל,KKL,Slope,3,שממית בתים,Hemidactylus turcicus,1,9/1/2014,2014,Kerem MaharalKKLSlope3
,,,Conifer Forests,Eshtaol,אשתאול,KKL,Slope,3,חומט גמד,Ablepharus rueppellii,1,8/10/2014,2014,EshtaolKKLSlope3
,,,Conifer Forests,Eshtaol,אשתאול,KKL,Slope,4,שממית בתים,Hemidactylus turcicus,1,8/10/2014,2014,EshtaolKKLSlope4
,,,Conifer Forests,Eitanim,איתנים,KKL,Slope,2,חומט גמד,Ablepharus rueppellii,1,8/11/2014,2014,EitanimKKLSlope2
,,,Conifer Forests,Amatzia,אמציה,KKL,Slope,1,שממית בתים,Hemidactylus turcicus,3,8/31/2014,2014,AmatziaKKLSlope1
,,,Conifer Forests,Amatzia,אמציה,KKL,Slope,2,צב-יבשה מצוי,Testudo graeca,1,8/31/2014,2014,AmatziaKKLSlope2
,,,Conifer Forests,Amatzia,אמציה,KKL,Slope,2,שממית בתים,Hemidactylus turcicus,1,8/31/2014,2014,AmatziaKKLSlope2
,,,Conifer Forests,Amatzia,אמציה,KKL,Slope,2,עינחש,Ophisops elegans,1,8/31/2014,2014,AmatziaKKLSlope2
,,,Conifer Forests,Amatzia,אמציה,KKL,Slope,3,שממית בתים,Hemidactylus turcicus,1,8/31/2014,2014,AmatziaKKLSlope3
,,,Conifer Forests,Givat Yeshayahu,גבעת ישעיהו,KKL,Slope,2,שממית בתים,Hemidactylus turcicus,1,8/31/2014,2014,Givat YeshayahuKKLSlope2
,,,Conifer Forests,Givat Yeshayahu,גבעת ישעיהו,KKL,Slope,3,צב-יבשה מצוי,Testudo graeca,1,8/31/2014,2014,Givat YeshayahuKKLSlope3
,,,Conifer Forests,Givat Yeshayahu,גבעת ישעיהו,KKL,Slope,3,שממית בתים,Hemidactylus turcicus,1,8/31/2014,2014,Givat YeshayahuKKLSlope3
,,,Conifer Forests,Aderet,אדרת,KKL,Slope,2,שממית בתים,Hemidactylus turcicus,1,9/24/2014,2014,AderetKKLSlope2
,,,Conifer Forests,Aderet,אדרת,KKL,Slope,2,לטאה זריזה,Lacerta laevis,1,9/24/2014,2014,AderetKKLSlope2
,,,Conifer Forests,Aderet,אדרת,KKL,Slope,3,חרדון מצוי,Laudakia stellio,1,9/24/2014,2014,AderetKKLSlope3
,,,Conifer Forests,Aderet,אדרת,KKL,Slope,3,שממית בתים,Hemidactylus turcicus,1,9/24/2014,2014,AderetKKLSlope3
,,,Savannah,Park Hatzerim,פארק חצרים,,Loess,2,שממית בתים,Hemidactylus turcicus,1,6/16/2014,2014,Park HatzerimLoess2
,,,Savannah,Park Hatzerim,פארק חצרים,,Loess,2,נחושית עינונית,Chalcides ocellatus,1,6/16/2014,2014,Park HatzerimLoess2
,,,Savannah,Park Hatzerim,פארק חצרים,,Loess,1,מדברית עינונית,Mesalina guttulata,1,6/16/2014,2014,Park HatzerimLoess1
,,,Savannah,Nahal Ashan,נחל עשן,,Loess,1,עינחש,Ophisops elegans,2,6/23/2014,2014,Nahal AshanLoess1
,,,Savannah,Nahal Ashan,נחל עשן,,Loess,1,חומט מנומר,Eumeces schneideri,1,6/23/2014,2014,Nahal AshanLoess1
,,,Savannah,Nahal Ashan,נחל עשן,,Loess,1,נחושית עינונית,Chalcides ocellatus,2,6/23/2014,2014,Nahal AshanLoess1
,,,Savannah,Nahal Ashan,נחל עשן,,Loess,2,מניפנית מצויה,Ptyodactylus guttatus,1,6/23/2014,2014,Nahal AshanLoess2
,,,Savannah,Nahal Ashan,נחל עשן,,Loess,2,נחושית עינונית,Chalcides ocellatus,1,6/23/2014,2014,Nahal AshanLoess2
,,,Savannah,Nahal Ashan,נחל עשן,,Loess,3,מדברית עינונית,Mesalina guttulata,1,6/23/2014,2014,Nahal AshanLoess3
,,,Savannah,Nahal Ashan,נחל עשן,,Loess,3,נחושית עינונית,Chalcides ocellatus,1,6/23/2014,2014,Nahal AshanLoess3
,,,Savannah,Park Loess,פארק הלס,,Loess,1,מדברית עינונית,Mesalina guttulata,3,7/1/2014,2014,Park LoessLoess1
,,,Savannah,Park Loess,פארק הלס,,Loess,1,שנונית באר שבע,Acanthodactylus beershebensis,8,7/1/2014,2014,Park LoessLoess1
,,,Savannah,Park Loess,פארק הלס,,Loess,1,נחושית עינונית,Chalcides ocellatus,1,7/1/2014,2014,Park LoessLoess1
,,,Savannah,Park Loess,פארק הלס,,Loess,2,כוח אפור,Varanus griseus,1,7/1/2014,2014,Park LoessLoess2
,,,Savannah,Park Loess,פארק הלס,,Loess,2,חרדון מדבר,Trapelus pallida,1,7/1/2014,2014,Park LoessLoess2
,,,Savannah,Park Loess,פארק הלס,,Loess,2,מדברית פסים,Mesalina olivieri,1,7/1/2014,2014,Park LoessLoess2
,,,Savannah,Park Loess,פארק הלס,,Loess,2,שנונית באר שבע,Acanthodactylus beershebensis,2,7/1/2014,2014,Park LoessLoess2
,,,Savannah,Park Loess,פארק הלס,,Loess,2,שנונית נחלים,Acanthodactylus boskianus,4,7/1/2014,2014,Park LoessLoess2
,,,Savannah,Park Loess,פארק הלס,,Loess,3,כוח אפור,Varanus griseus,1,7/1/2014,2014,Park LoessLoess3
,,,Savannah,Park Loess,פארק הלס,,Loess,3,שנונית באר שבע,Acanthodactylus beershebensis,13,7/1/2014,2014,Park LoessLoess3
,,,Savannah,Park Hatzerim,פארק חצרים,,Planting,1,נחושית עינונית,Chalcides ocellatus,1,6/16/2014,2014,Park HatzerimPlanting1
,,,Savannah,Nahal Ashan,נחל עשן,,Planting,1,נחושית עינונית,Chalcides ocellatus,1,6/23/2014,2014,Nahal AshanPlanting1
,,,Savannah,Nahal Ashan,נחל עשן,,Planting,2,חרדון מצוי,Laudakia stellio,1,6/23/2014,2014,Nahal AshanPlanting2
,,,Savannah,Nahal Ashan,נחל עשן,,Planting,2,שממית בתים,Hemidactylus turcicus,4,6/23/2014,2014,Nahal AshanPlanting2
,,,Savannah,Nahal Ashan,נחל עשן,,Planting,2,נחושית עינונית,Chalcides ocellatus,1,6/23/2014,2014,Nahal AshanPlanting2
,,,Savannah,Nahal Ashan,נחל עשן,,Planting,2,זיקית,Chamaeleo chamaeleon,1,6/23/2014,2014,Nahal AshanPlanting2
,,,Savannah,Nahal Ashan,נחל עשן,,Planting,3,מדברית עינונית,Mesalina guttulata,1,6/23/2014,2014,Nahal AshanPlanting3
,,,Savannah,Mishmar Hanegev,משמר הנגב,,Planting,1,חרדון מצוי,Laudakia stellio,1,7/1/2014,2014,Mishmar HanegevPlanting1
,,,Savannah,Mishmar Hanegev,משמר הנגב,,Planting,3,חומט פסים,Trachylepis vittata,1,7/1/2014,2014,Mishmar HanegevPlanting3
,,,Savannah,Mishmar Hanegev,משמר הנגב,,Planting,3,זיקית,Chamaeleo chamaeleon,1,7/1/2014,2014,Mishmar HanegevPlanting3
,,,Savannah,Eshel Hanasi,אשל הנשיא,,Agriculture,1,חרדון מצוי,Laudakia stellio,1,6/16/2014,2014,Eshel HanasiAgriculture1
,,,Savannah,Eshel Hanasi,אשל הנשיא,,Agriculture,1,עינחש,Ophisops elegans,5,6/16/2014,2014,Eshel HanasiAgriculture1
,,,Savannah,Eshel Hanasi,אשל הנשיא,,Agriculture,3,עינחש,Ophisops elegans,3,6/16/2014,2014,Eshel HanasiAgriculture3
,,,Savannah,Mishmar Hanegev,משמר הנגב,,Agriculture,1,עינחש,Ophisops elegans,5,7/1/2014,2014,Mishmar HanegevAgriculture1
,,,Savannah,Mishmar Hanegev,משמר הנגב,,Agriculture,2,עינחש,Ophisops elegans,2,7/1/2014,2014,Mishmar HanegevAgriculture2
,,,Savannah,Mishmar Hanegev,משמר הנגב,,Agriculture,3,חרדון מצוי,Laudakia stellio,5,7/1/2014,2014,Mishmar HanegevAgriculture3
,,,Savannah,Mishmar Hanegev,משמר הנגב,,Agriculture,3,מדברית עינונית,Mesalina guttulata,1,7/1/2014,2014,Mishmar HanegevAgriculture3
,,,Savannah,Givot Bar,גבעות בר,,Agriculture,1,עינחש,Ophisops elegans,4,7/1/2014,2014,Givot BarAgriculture1
,,,Savannah,Givot Bar,גבעות בר,,Agriculture,2,חרדון מצוי,Laudakia stellio,1,7/1/2014,2014,Givot BarAgriculture2
,,,Savannah,Givot Bar,גבעות בר,,Agriculture,2,עינחש,Ophisops elegans,6,7/1/2014,2014,Givot BarAgriculture2
,,,Savannah,Givot Bar,גבעות בר,,Agriculture,3,עינחש,Ophisops elegans,4,7/1/2014,2014,Givot BarAgriculture3
